family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,IGSF10,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.2404181212186813,69.0,0.377374113782321,0.5871198298715188,-0.2097457160891978,0.0,IGSF10,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,TUBB4,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.914725411037514,1.1245301520221562,-0.2098047409846422,0.0,TUBB4,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,NECAB1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.5223507186842244,0.7321758796790812,-0.2098251609948567,0.0,NECAB1,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,SPIB,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5400696992874146,155.0,0.7411889637312172,0.951723037094415,-0.2105340733631977,0.0,SPIB,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ADAMTS8,1,kidneyclearcellrenalcarcinoma,1,1.0,0.1114982590079307,32.0,0.1508669782845935,0.361408358163109,-0.2105413798785155,0.0,ADAMTS8,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,GDF6,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.9332938479728622,1.144934231915863,-0.2116403839430009,0.0,GDF6,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,KCNIP2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.3066202104091644,88.0,0.2139434075478738,0.4260799467572603,-0.2121365392093865,0.0,KCNIP2,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,PLAGL1,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5574913024902344,160.0,0.3647747083167323,0.5771277325050631,-0.2123530241883308,0.0,PLAGL1,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,FAM83E,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5505226254463196,158.0,0.533484455823305,0.7460478675765108,-0.2125634117532058,0.0,FAM83E,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,UCP2,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.2195121943950653,63.0,0.2318527623772935,0.4445622691396832,-0.2127095067623897,0.0,UCP2,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,LMOD1,1,kidneyclearcellrenalcarcinoma,1,1.0,0.2508710920810699,72.0,0.3620582836534521,0.5764833584145775,-0.2144250747611253,0.0,LMOD1,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,C5orf58,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5505226254463196,158.0,0.6061256353862421,0.8213434779908908,-0.2152178426046487,0.0,C5orf58,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,KCNK15,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7503016285759807,0.9656195179601028,-0.2153178893841222,0.0,KCNK15,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,RNF125,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6336197994185208,0.8493445707115694,-0.2157247712930486,0.0,RNF125,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,PROX1,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.3031359016895294,87.0,0.2889975161559916,0.5050553939962767,-0.2160578778402851,0.0,PROX1,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,KIAA0664P3,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5679442286491394,163.0,0.4727952733110542,0.6890576697042646,-0.2162623963932104,0.0,KIAA0664P3,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,KCNMB4,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6375956484179858,0.8546358943455535,-0.2170402459275677,0.0,KCNMB4,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,ARL10,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6421048821783962,0.8600585741909874,-0.2179536920125911,0.0,ARL10,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,LOC646471,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7875899735937235,1.00676020836161,-0.2191702347678865,0.0,LOC646471,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,HAPLN4,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5052264928817749,145.0,0.3205413518683089,0.5406758830332989,-0.22013453116499,0.0,HAPLN4,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,LOC284578,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5540069937705994,159.0,0.640268136066853,0.8613665078481865,-0.2210983717813335,0.0,LOC284578,,,False
