dataset,method,n_bootstrap,n_genes,mean_k_selected,stability_index,ci_low,ci_high
brca,LSPIN_smooth,15,24000,423.2,0.0010410688288315928,0.02877548918882828,0.1319548884066511
brca,coxnet_l1ratio0.9_matched_k423,15,24000,326.4,0.16088613736924873,0.184459210327125,0.26972756416729293
brca,random_matched_k,15,24000,423.2,-0.0004708739660705952,0.027799372374927002,0.1263024132556109
