gene
RNA_CLEC3A
RNA_CPB1
RNA_SCGB2A2
RNA_SCGB1D2
RNA_TFF1
RNA_GSTM1
RNA_S100A7
RNA_PIP
RNA_MUCL1
RNA_CYP2B7P1
RNA_ANKRD30A
RNA_CYP4Z1
RNA_PRAME
RNA_AGR3
RNA_HMGCS2
RNA_KCNJ3
RNA_MUC6
RNA_SERPINA6
RNA_TFAP2B
RNA_DHRS2
RNA_SLC30A8
RNA_UGT2B11
RNA_VSTM2A
RNA_COL2A1
RNA_C4orf7
RNA_TAT
RNA_ADIPOQ
RNA_ADH1B
RNA_MYBPC1
RNA_CALML5
RNA_KRT14
RNA_GP2
RNA_GABRP
RNA_CEACAM5
RNA_C1orf64
RNA_GRIA2
RNA_MUC5B
RNA_KRT5
RNA_TFF3
RNA_SOX10
RNA_CRABP1
RNA_GSTT1
RNA_STAC2
RNA_SYT13
RNA_CST9
RNA_LTF
RNA_KRT6B
RNA_KLK11
RNA_BMPR1B
RNA_HOXB13
RNA_FABP7
RNA_CRISP3
RNA_CYP2A6
RNA_NPY1R
RNA_CLCA2
RNA_CEACAM6
RNA_GFRA1
RNA_OBP2B
RNA_C20orf114
RNA_ABCC11
RNA_PVALB
RNA_AGR2
RNA_LRP2
RNA_KIF1A
RNA_TCN1
RNA_CYP4F8
RNA_PGR
RNA_CGA
RNA_CP
RNA_OLFM4
RNA_SLC34A2
RNA_FAM5C
RNA_KCNC2
RNA_SLC5A8
RNA_MSLN
RNA_KLK5
RNA_KRT6A
RNA_MUC16
RNA_A2ML1
RNA_CBLN2
RNA_DSG3
RNA_PROM1
RNA_KRT16
RNA_BPIL1
RNA_NLRP2
RNA_KRT81
RNA_SERPINA11
RNA_KRT17
RNA_PTPRT
RNA_PIGR
RNA_AQP5
RNA_BEX1
RNA_CA9
RNA_VGLL1
RNA_ELF5
RNA_LBP
RNA_CST1
RNA_KLK6
RNA_KLK10
RNA_TUSC5
RNA_SLC6A4
RNA_NXPH1
RNA_PPP1R1B
RNA_C10orf82
RNA_LRRC31
RNA_SLITRK6
RNA_CYP4Z2P
RNA_PPP2R2C
RNA_KLHDC7A
RNA_ESR1
RNA_ORM1
RNA_SYT9
RNA_ANKRD30B
RNA_SCGB2A1
RNA_DCD
RNA_CALML3
RNA_GRPR
RNA_SORCS1
RNA_EEF1A2
RNA_CDC20B
RNA_MUC2
RNA_FABP4
RNA_CST5
RNA_ASCL1
RNA_TNNT1
RNA_CHAD
RNA_PDZK1
RNA_RPS28
RNA_CLIC6
RNA_KLK7
RNA_CXCL17
RNA_DIO1
RNA_MAGEA6
RNA_SLC6A14
RNA_CASP14
RNA_PYDC1
RNA_NBPF4
RNA_S100A7A
RNA_PEG10
RNA_CARTPT
RNA_FOXI1
RNA_SDR16C5
RNA_SPAG6
RNA_CIDEC
RNA_MUC15
RNA_C7
RNA_S100A8
RNA_WNK4
RNA_ABCC8
RNA_PPAN-P2RY11
RNA_CNTNAP2
RNA_PGLYRP2
RNA_C2orf54
RNA_LCN2
RNA_SCGB3A1
RNA_MIA
RNA_S100A9
RNA_SCUBE2
RNA_ABCA12
RNA_CAPN8
RNA_IGSF1
RNA_DSC3
RNA_FOLR1
RNA_CXCL13
RNA_LRP1B
RNA_MSMB
RNA_LY6D
RNA_TMPRSS4
RNA_NBPF6
RNA_ALB
RNA_ORM2
RNA_PLA2G2A
RNA_ERBB4
RNA_SLC7A4
