per_patient_stability_median,per_patient_stability_iqr_low,per_patient_stability_iqr_high,per_patient_null_stability_median,per_patient_median_k,aggregate_stability,aggregate_mean_k,mean_test_cindex,n_bootstrap,dataset,gate_family,selection,lambda_multiplier,sigma_multiplier
-0.0018479241784308265,-0.0024212983330623716,-0.0014184346450287766,-2.026934498866595e-05,308.0,-0.0024383153283868975,453.0,0.5671383193762632,6,brca,LSPIN,smooth,1.0,1.0
-6.86196307591036e-05,-0.0007083927734258255,0.0006965371743981597,-8.919616056024537e-05,392.5,0.0010298020024760435,562.1666666666666,0.559004716527096,6,brca,LSPIN,smooth,1.0,0.5
-0.0024636967965339096,-0.0028298286471186707,-0.0019111408106630146,-0.00015374789886268836,243.5,-0.003105719178174926,301.6666666666667,0.5381172393878141,6,brca,LSPIN,smooth,2.0,1.0
-0.002859837303625712,-0.003365851000605491,-0.0023171884309970414,-0.00018285714118260188,291.5,-0.001880666970005107,352.8333333333333,0.555010106843777,6,brca,LSPIN,smooth,2.0,0.5
-0.002227279658260306,-0.002794799897168909,-0.001799520429243695,-0.00031915124335668565,201.5,-0.00258365264769167,220.83333333333334,0.552507459813264,6,brca,LSPIN,smooth,4.0,1.0
0.00045104181879507266,2.6575455879085386e-05,0.000779961582789146,-0.00023779706295345981,243.5,0.00029362764021256815,273.6666666666667,0.5669939358937338,6,brca,LSPIN,smooth,4.0,0.5
