model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,0.9577295599457616
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,0.9523681748133724
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,0.940113423183526
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,0.8761973913684182
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,0.8472284115189781
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,0.8471318766491753
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,0.7971757122043043
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,0.9630546341471956
LSPIN,lspin_tf,mlp,0.00525,0.1,0,1,0.8989393911224529
LSPIN,lspin_tf,mlp,0.00525,0.1,0,2,0.9250338683428992
LSPIN,lspin_tf,mlp,0.00525,0.1,0,3,0.9004736567289371
LSPIN,lspin_tf,mlp,0.00525,0.1,0,4,0.8595732790502402
LSPIN,lspin_tf,mlp,0.00525,0.1,1,2,0.9189380667964744
LSPIN,lspin_tf,mlp,0.00525,0.1,1,3,0.959103277068794
LSPIN,lspin_tf,mlp,0.00525,0.1,1,4,0.9411046960183704
LSPIN,lspin_tf,mlp,0.00525,0.1,2,3,0.93781838187904
LSPIN,lspin_tf,mlp,0.00525,0.1,2,4,0.9359800023366974
LSPIN,lspin_tf,mlp,0.00525,0.1,3,4,0.9391524524753948
LSPIN,lspin_tf,mlp,0.007,0.1,0,1,0.918387185754772
LSPIN,lspin_tf,mlp,0.007,0.1,0,2,0.91154915532504
LSPIN,lspin_tf,mlp,0.007,0.1,0,3,0.8650673972393741
LSPIN,lspin_tf,mlp,0.007,0.1,0,4,0.9297749584664706
LSPIN,lspin_tf,mlp,0.007,0.1,1,2,0.9211694834619484
LSPIN,lspin_tf,mlp,0.007,0.1,1,3,0.8608776088253243
LSPIN,lspin_tf,mlp,0.007,0.1,1,4,0.927668588924021
LSPIN,lspin_tf,mlp,0.007,0.1,2,3,0.9337494238110632
LSPIN,lspin_tf,mlp,0.007,0.1,2,4,0.9326048863375904
LSPIN,lspin_tf,mlp,0.007,0.1,3,4,0.9116000321160456
LSPIN,lspin_tf,mlp,0.00875,0.1,0,1,0.8959094023732178
LSPIN,lspin_tf,mlp,0.00875,0.1,0,2,0.9382225954520874
LSPIN,lspin_tf,mlp,0.00875,0.1,0,3,0.9369627174700228
LSPIN,lspin_tf,mlp,0.00875,0.1,0,4,0.876046619123427
LSPIN,lspin_tf,mlp,0.00875,0.1,1,2,0.8950929832421868
LSPIN,lspin_tf,mlp,0.00875,0.1,1,3,0.9125243874516084
LSPIN,lspin_tf,mlp,0.00875,0.1,1,4,0.8803890442647769
LSPIN,lspin_tf,mlp,0.00875,0.1,2,3,0.9349402131864594
LSPIN,lspin_tf,mlp,0.00875,0.1,2,4,0.90263163047812
LSPIN,lspin_tf,mlp,0.00875,0.1,3,4,0.8562798312471618
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,0.8770003243806038
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,0.9578191192856468
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,0.919315069583147
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,0.8367474839823169
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,0.8648997902594934
