model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
Concrete,0.0,0.0066,81.42797355651855,19.395812800556033,0.572072072072072,0.03198931882382018,0.9102103362826943,0.026709531645309908,5095.9,322.0,1551.793952590828,10
Concrete,0.0,0.0055,96.7096450805664,10.050316390342052,0.5845372645372645,0.024381134572100054,0.9200293282759764,0.01218348401167222,5718.1,380.8,1702.4897958718207,10
Concrete,0.0,0.0044,123.98970947265624,26.84772129219664,0.5977231777231777,0.019502914803972052,0.9392358089770838,0.01709975044190546,6043.2,549.4,1849.2743018029644,10
Concrete,0.0,0.0033,196.24919586181642,32.38031705683178,0.625061425061425,0.04054531087071382,0.9546468691328032,0.009363039673347376,7603.9,881.3,2358.505388005129,10
Concrete,0.0,0.00275,228.4000015258789,55.15563991648089,0.6185913185913187,0.02363107141698224,0.9589621255978689,0.013967870720838318,8043.7,1049.1,2553.557651831452,10
Concrete,0.0,0.0022,288.08617401123047,49.09460712388717,0.6163636363636364,0.023953243708508327,0.9716554389838507,0.007796791819286385,9038.8,1372.8,3000.3934133083044,10
Concrete,0.0,0.00165,464.62926330566404,101.32441363601019,0.627059787059787,0.02482661540720058,0.979800608432949,0.009417628934881262,11378.6,2259.8,4039.136143889789,10
Concrete,0.0,0.0011,642.2334411621093,146.98642404440088,0.6331695331695332,0.01421117861174761,0.9852361821329458,0.00443940631172912,13072.6,3136.3,4934.696522695731,10
Concrete,0.1,0.0066,94.16977615356446,18.135088271829698,0.585962325962326,0.05142548685850969,0.8518495237599758,0.020090241159554052,4465.9,139.8,440.80309617828743,10
Concrete,0.1,0.0055,122.67459869384766,21.513224824173523,0.5833251433251434,0.031788468770742664,0.8911266608526922,0.017802158708987582,4326.5,221.7,481.72253227755164,10
Concrete,0.1,0.0044,168.01993560791016,18.88010296765646,0.6085176085176085,0.02679266460681051,0.9106386225118575,0.01819439538155309,5363.8,262.9,544.3579038002566,10
Concrete,0.1,0.0033,243.27813415527345,23.436065461379524,0.6088615888615888,0.04160140437720778,0.9368434794317817,0.01329986703148896,4771.7,405.5,555.256049373799,10
Concrete,0.1,0.00275,294.6456573486328,34.08156539832238,0.5976576576576577,0.028122902865645647,0.9396030587961024,0.011872660017742669,3615.7,494.2,545.7091273110173,10
Concrete,0.1,0.0022,422.1530517578125,36.63184234369512,0.6216380016380016,0.020868288010626353,0.9580210321054891,0.00739551450820085,5509.3,692.3,794.6687913256536,10
Concrete,0.1,0.00165,607.9270111083985,63.9337984790521,0.6117280917280917,0.03464950610729315,0.971728471668382,0.004723634764180622,5093.5,960.3,972.274696088439,10
Concrete,0.1,0.0011,996.3328002929687,95.49641058334782,0.6184766584766586,0.02813071964187877,0.9816422828210964,0.005119108168950018,5653.6,1624.9,1535.9691239817291,10
Concrete,0.2,0.0066,109.33890686035156,15.631096666004213,0.5747420147420147,0.03898511192048042,0.8619595939100538,0.018681954213472796,4482.3,153.7,431.90274465011197,10
Concrete,0.2,0.0055,123.156591796875,22.506418503754855,0.579082719082719,0.03198203033666727,0.8824663938775352,0.020424238145556193,3997.0,176.0,371.61296963100483,10
Concrete,0.2,0.0044,167.86431121826172,27.873306602020765,0.5924160524160524,0.03699725243025497,0.9035985475681765,0.019999242649048864,5099.3,242.3,505.16691961229265,10
Concrete,0.2,0.0033,243.8437286376953,19.587585457563435,0.5977395577395577,0.03800083781999951,0.9316633279894772,0.012237985286745152,3974.9,365.0,473.9322755892883,10
Concrete,0.2,0.00275,305.5704147338867,38.30094807690641,0.6070925470925471,0.03502754575434446,0.9483727356145344,0.010956006620344991,3939.1,486.3,552.876062770502,10
Concrete,0.2,0.0022,408.7212219238281,39.669755588427336,0.5978869778869779,0.030346673999045174,0.9600926987138395,0.005330922471285725,4540.7,620.1,685.0295138871423,10
Concrete,0.2,0.00165,606.5138305664062,41.29523169143044,0.6118591318591319,0.03231347293473768,0.9685338797593068,0.005507665626131966,4742.5,917.6,930.5516380809973,10
