model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.5109885597355863,0.5125066545914232,20,81.42797355651855
Concrete,0.0,0.0055,0.4505852081243729,0.5207431725921149,20,96.7096450805664
Concrete,0.0,0.0044,0.49593272493958124,0.5460189440627506,20,123.98970947265624
Concrete,0.0,0.0033,0.5601296061636284,0.5394858032912373,20,196.24919586181642
Concrete,0.0,0.00275,0.5406758914018801,0.5342549918793169,20,228.4000015258789
Concrete,0.0,0.0022,0.4732969489077027,0.5052284543410194,20,288.08617401123047
Concrete,0.0,0.00165,0.5243611997405238,0.5331655766966417,20,464.62926330566404
Concrete,0.0,0.0011,0.5547896441691436,0.551908811462525,20,642.2334411621093
Concrete,0.1,0.0066,0.8075112654290388,0.69733779717885,20,94.16977615356446
Concrete,0.1,0.0055,0.6240308806754068,0.6089736898053888,20,122.67459869384766
Concrete,0.1,0.0044,0.6605838010452265,0.6291155321836384,20,168.01993560791016
Concrete,0.1,0.0033,0.6958034721162718,0.6548745443904086,20,243.27813415527345
Concrete,0.1,0.00275,0.6656073527000294,0.6465262563520064,20,294.6456573486328
Concrete,0.1,0.0022,0.6604258130028997,0.6088025934189534,20,422.1530517578125
Concrete,0.1,0.00165,0.6923795649770935,0.6456626685634979,20,607.9270111083985
Concrete,0.1,0.0011,0.6666355992181552,0.6380265062703856,20,996.3328002929687
Concrete,0.2,0.0066,0.8022253711370434,0.7249018046017249,20,109.33890686035156
Concrete,0.2,0.0055,0.7117857720101527,0.6557469146485898,20,123.156591796875
Concrete,0.2,0.0044,0.6914900654864203,0.6523515981429241,20,167.86431121826172
Concrete,0.2,0.0033,0.6563652695013217,0.6376911359779289,20,243.8437286376953
Concrete,0.2,0.00275,0.6965209176287689,0.6442197515121232,20,305.5704147338867
Concrete,0.2,0.0022,0.6967860403954311,0.6406106836403425,20,408.7212219238281
Concrete,0.2,0.00165,0.7266047503809787,0.6742110983122058,20,606.5138305664062
Concrete,0.2,0.0011,0.6927738291964811,0.683268986869469,20,992.6572326660156
Concrete,0.4,0.0066,0.7340997443428938,0.6772561490418726,20,101.24951705932617
Concrete,0.4,0.0055,0.7667375218825778,0.7350183588775996,20,132.29999771118165
Concrete,0.4,0.0044,0.7588602004789288,0.6852584311965263,20,167.52315216064454
Concrete,0.4,0.0033,0.6851916198538419,0.6540781654287177,20,250.85787506103514
Concrete,0.4,0.00275,0.657847438371354,0.6156646434007175,20,333.730224609375
Concrete,0.4,0.0022,0.6527637799382869,0.6049311012809966,20,408.7961395263672
Concrete,0.4,0.00165,0.6173759365713005,0.6299984898693574,20,607.0337585449219
Concrete,0.4,0.0011,0.6715172386910014,0.6607217738502044,20,975.0868103027344
L-Concrete,0.0,0.0066,0.6529114024167418,0.595063005254533,20,76.2250804901123
L-Concrete,0.0,0.0055,0.5774146293660428,0.5715195853199372,20,92.91189727783203
L-Concrete,0.0,0.0044,0.49014837317442767,0.48380162076120364,20,115.40739517211914
L-Concrete,0.0,0.0033,0.48451959050054116,0.5128085959492829,20,145.92411575317382
L-Concrete,0.0,0.00275,0.5358622198699476,0.5232035726671231,20,197.62540283203126
L-Concrete,0.0,0.0022,0.4192572159711167,0.4562947312828851,20,229.109326171875
L-Concrete,0.0,0.00165,0.50454050744011,0.5058531152209189,20,370.35691223144534
L-Concrete,0.0,0.0011,0.5314740351795816,0.5236659103901137,20,572.754019165039
