histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,mlp,0.0105,0.0,50124
other,23,0.5675675675675675,LSPIN,mlp,0.0105,0.0,50124
infiltratingductalcarcinoma,220,0.5888707037643208,LSPIN,mlp,0.0105,0.0,50125
infiltratinglobularcarcinoma,60,0.4708994708994709,LSPIN,mlp,0.0105,0.0,50125
other,23,0.4864864864864865,LSPIN,mlp,0.0105,0.0,50125
infiltratingductalcarcinoma,220,0.611783960720131,LSPIN,mlp,0.0105,0.0,50126
infiltratinglobularcarcinoma,60,0.5873015873015873,LSPIN,mlp,0.0105,0.0,50126
other,23,0.6486486486486487,LSPIN,mlp,0.0105,0.0,50126
infiltratingductalcarcinoma,220,0.6566284779050736,LSPIN,mlp,0.0105,0.0,50127
infiltratinglobularcarcinoma,60,0.5714285714285714,LSPIN,mlp,0.0105,0.0,50127
other,23,0.4594594594594595,LSPIN,mlp,0.0105,0.0,50127
infiltratingductalcarcinoma,220,0.6045826513911621,LSPIN,mlp,0.014,0.0,60123
infiltratinglobularcarcinoma,60,0.4708994708994709,LSPIN,mlp,0.014,0.0,60123
other,23,0.5945945945945946,LSPIN,mlp,0.014,0.0,60123
infiltratingductalcarcinoma,220,0.6180032733224222,LSPIN,mlp,0.014,0.0,60124
infiltratinglobularcarcinoma,60,0.4285714285714285,LSPIN,mlp,0.014,0.0,60124
other,23,0.6756756756756757,LSPIN,mlp,0.014,0.0,60124
infiltratingductalcarcinoma,220,0.6962356792144027,LSPIN,mlp,0.014,0.0,60125
infiltratinglobularcarcinoma,60,0.6243386243386243,LSPIN,mlp,0.014,0.0,60125
other,23,0.6756756756756757,LSPIN,mlp,0.014,0.0,60125
infiltratingductalcarcinoma,220,0.6369885433715221,LSPIN,mlp,0.014,0.0,60126
infiltratinglobularcarcinoma,60,0.328042328042328,LSPIN,mlp,0.014,0.0,60126
other,23,0.4864864864864865,LSPIN,mlp,0.014,0.0,60126
infiltratingductalcarcinoma,220,0.6432078559738135,LSPIN,mlp,0.014,0.0,60127
infiltratinglobularcarcinoma,60,0.3333333333333333,LSPIN,mlp,0.014,0.0,60127
other,23,0.5135135135135135,LSPIN,mlp,0.014,0.0,60127
infiltratingductalcarcinoma,220,0.6494271685761047,LSPIN,mlp,0.021,0.0,70123
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,mlp,0.021,0.0,70123
other,23,0.5675675675675675,LSPIN,mlp,0.021,0.0,70123
infiltratingductalcarcinoma,220,0.5335515548281505,LSPIN,mlp,0.021,0.0,70124
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,mlp,0.021,0.0,70124
