model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
Concrete,0.2,0.00165,606.5138305664062,41.29523169143044,0.6118591318591319,0.03231347293473768,0.9685338797593068,0.005507665626131966,4742.5,917.6,930.5516380809973,10,0.9206201031612092,0.7445650737839398,3.048097757621567,0.7266047503809787,0.6742110983122058,0.65625,0.875,0.8125,0.84375,0.53125,0.74375
Concrete,0.2,0.0011,992.6572326660156,103.65414293515809,0.6168058968058968,0.019053494658328538,0.9813771593279664,0.004928704469709019,6088.6,1676.4,1569.2330599416366,10,0.9412888530989217,0.7981488830293414,3.306676744771983,0.6927738291964811,0.683268986869469,0.71875,1.0,1.0,0.6875,0.1875,0.71875
Concrete,0.1,0.00275,294.6456573486328,34.08156539832238,0.5976576576576577,0.028122902865645647,0.9396030587961024,0.011872660017742669,3615.7,494.2,545.7091273110173,10,0.9348110099977408,0.6889963188237026,2.715079365079365,0.6656073527000294,0.6465262563520064,0.34375,0.9375,0.625,0.5,1.0,0.68125
Concrete,0.2,0.00275,305.5704147338867,38.30094807690641,0.6070925470925471,0.03502754575434446,0.9483727356145344,0.010956006620344991,3939.1,486.3,552.876062770502,10,0.8929594697466247,0.6717997121268066,2.7777651801461323,0.6965209176287689,0.6442197515121232,0.5,0.53125,0.5625,0.75,0.90625,0.65
Concrete,0.4,0.0033,250.85787506103514,26.73350857127891,0.6003931203931204,0.03322073008012785,0.9354782940276497,0.009730533258088257,4052.0,364.2,470.31127689876257,10,0.9118374684638149,0.6382277561539472,2.758175862937768,0.6851916198538419,0.6540781654287177,0.46875,0.84375,0.4375,0.59375,0.8125,0.63125
Concrete,0.2,0.0022,408.7212219238281,39.669755588427336,0.5978869778869779,0.030346673999045174,0.9600926987138395,0.005330922471285725,4540.7,620.1,685.0295138871423,10,0.9062918632749094,0.6859832723281328,2.828697404887881,0.6967860403954311,0.6406106836403425,0.4375,0.75,0.59375,0.78125,0.59375,0.63125
Concrete,0.4,0.0055,132.29999771118165,21.970550433864542,0.582964782964783,0.04967110742429005,0.8870480973861339,0.019672549700957255,3894.3,182.2,334.33042365172986,10,0.9363161196414527,0.5419732433898501,2.409486016628874,0.7667375218825778,0.7350183588775996,0.125,0.96875,0.1875,0.9375,0.9375,0.63125
Concrete,0.1,0.00165,607.9270111083985,63.9337984790521,0.6117280917280917,0.03464950610729315,0.971728471668382,0.004723634764180622,5093.5,960.3,972.274696088439,10,0.8868378280606409,0.754461412740931,3.0402620307382215,0.6923795649770935,0.6456626685634979,0.625,0.5,0.875,0.65625,0.46875,0.625
Concrete,0.1,0.0011,996.3328002929687,95.49641058334782,0.6184766584766586,0.02813071964187877,0.9816422828210964,0.005119108168950018,5653.6,1624.9,1535.9691239817291,10,0.8963446014574517,0.7847869751886638,3.1342907533383726,0.6666355992181552,0.6380265062703856,0.78125,0.5625,0.9375,0.53125,0.28125,0.61875
Concrete,0.4,0.00165,607.0337585449219,54.75738967399486,0.6173300573300573,0.03153859093016745,0.9703598402719859,0.006641232265318469,4484.9,947.0,931.5090349473127,10,0.9000953464555808,0.7249257594655567,2.973658352229781,0.6173759365713005,0.6299984898693574,0.75,0.65625,0.78125,0.28125,0.625,0.61875
