model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
Concrete,concrete,0.15,0.00275,0.1,1,2,0.8858029583266885
Concrete,concrete,0.15,0.0022,0.1,0,1,0.9070713026901476
Concrete,concrete,0.15,0.0022,0.1,0,2,0.8978668794656657
Concrete,concrete,0.15,0.0022,0.1,1,2,0.9013327809641406
Concrete,concrete,0.12,0.0055,0.1,0,1,0.6865934886026126
Concrete,concrete,0.12,0.0055,0.1,0,2,0.671704691145547
Concrete,concrete,0.12,0.0055,0.1,1,2,0.8071537308668937
Concrete,concrete,0.12,0.0044,0.1,0,1,0.8538894647432906
Concrete,concrete,0.12,0.0044,0.1,0,2,0.8787070324187237
Concrete,concrete,0.12,0.0044,0.1,1,2,0.8377257719861114
Concrete,concrete,0.12,0.0033,0.1,0,1,0.9022133034394472
Concrete,concrete,0.12,0.0033,0.1,0,2,0.9381883740419062
Concrete,concrete,0.12,0.0033,0.1,1,2,0.8907796526828049
Concrete,concrete,0.12,0.00275,0.1,0,1,0.9233252715252848
Concrete,concrete,0.12,0.00275,0.1,0,2,0.8938095252173643
Concrete,concrete,0.12,0.00275,0.1,1,2,0.904958504057392
Concrete,concrete,0.12,0.0022,0.1,0,1,0.9167500654488728
Concrete,concrete,0.12,0.0022,0.1,0,2,0.899866213686999
Concrete,concrete,0.12,0.0022,0.1,1,2,0.9655894309946668
L-Concrete,concrete,0.15,0.0066,0.1,0,1,0.956173900851009
L-Concrete,concrete,0.15,0.0066,0.1,0,2,0.916137220398166
L-Concrete,concrete,0.15,0.0066,0.1,1,2,0.94324719140899
L-Concrete,concrete,0.15,0.0044,0.1,0,1,0.9285240978641842
L-Concrete,concrete,0.15,0.0044,0.1,0,2,0.7172401585344208
L-Concrete,concrete,0.15,0.0044,0.1,1,2,0.6949527180521592
L-Concrete,concrete,0.15,0.0033,0.1,0,1,0.9655103210356952
L-Concrete,concrete,0.15,0.0033,0.1,0,2,0.9578392917744976
L-Concrete,concrete,0.15,0.0033,0.1,1,2,0.924340060013642
L-Concrete,concrete,0.15,0.00275,0.1,0,1,0.8117006668492514
L-Concrete,concrete,0.15,0.00275,0.1,0,2,0.9499247772285204
