histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,0.12,0.007,0.1,330123
other,23,0.2972972972972973,LSPIN,0.12,0.007,0.1,330123
infiltratingductalcarcinoma,220,0.6006546644844517,LSPIN,0.12,0.007,0.1,330124
infiltratinglobularcarcinoma,60,0.5714285714285714,LSPIN,0.12,0.007,0.1,330124
other,23,0.4864864864864865,LSPIN,0.12,0.007,0.1,330124
infiltratingductalcarcinoma,220,0.6435351882160393,LSPIN,0.12,0.007,0.1,330125
infiltratinglobularcarcinoma,60,0.6296296296296297,LSPIN,0.12,0.007,0.1,330125
other,23,0.5945945945945946,LSPIN,0.12,0.007,0.1,330125
infiltratingductalcarcinoma,220,0.6520458265139116,LSPIN,0.12,0.00525,0.1,370123
infiltratinglobularcarcinoma,60,0.6137566137566137,LSPIN,0.12,0.00525,0.1,370123
other,23,0.4594594594594595,LSPIN,0.12,0.00525,0.1,370123
infiltratingductalcarcinoma,220,0.6494271685761047,LSPIN,0.12,0.00525,0.1,370124
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,0.12,0.00525,0.1,370124
other,23,0.5675675675675675,LSPIN,0.12,0.00525,0.1,370124
infiltratingductalcarcinoma,220,0.511620294599018,LSPIN,0.12,0.00525,0.1,370125
infiltratinglobularcarcinoma,60,0.3597883597883597,LSPIN,0.12,0.00525,0.1,370125
other,23,0.5405405405405406,LSPIN,0.12,0.00525,0.1,370125
infiltratingductalcarcinoma,220,0.6569558101472995,L-LSPIN,0.15,0.021,0.1,410123
infiltratinglobularcarcinoma,60,0.5132275132275133,L-LSPIN,0.15,0.021,0.1,410123
other,23,0.2702702702702703,L-LSPIN,0.15,0.021,0.1,410123
infiltratingductalcarcinoma,220,0.5443535188216039,L-LSPIN,0.15,0.021,0.1,410124
infiltratinglobularcarcinoma,60,0.6402116402116402,L-LSPIN,0.15,0.021,0.1,410124
other,23,0.5135135135135135,L-LSPIN,0.15,0.021,0.1,410124
infiltratingductalcarcinoma,220,0.5950900163666121,L-LSPIN,0.15,0.021,0.1,410125
infiltratinglobularcarcinoma,60,0.5396825396825397,L-LSPIN,0.15,0.021,0.1,410125
other,23,0.7567567567567568,L-LSPIN,0.15,0.021,0.1,410125
infiltratingductalcarcinoma,220,0.5937806873977087,L-LSPIN,0.15,0.014,0.1,450123
infiltratinglobularcarcinoma,60,0.291005291005291,L-LSPIN,0.15,0.014,0.1,450123
other,23,0.5405405405405406,L-LSPIN,0.15,0.014,0.1,450123
infiltratingductalcarcinoma,220,0.6608837970540098,L-LSPIN,0.15,0.014,0.1,450124
infiltratinglobularcarcinoma,60,0.5238095238095238,L-LSPIN,0.15,0.014,0.1,450124
other,23,0.5405405405405406,L-LSPIN,0.15,0.014,0.1,450124
infiltratingductalcarcinoma,220,0.5718494271685761,L-LSPIN,0.15,0.014,0.1,450125
infiltratinglobularcarcinoma,60,0.6243386243386243,L-LSPIN,0.15,0.014,0.1,450125
other,23,0.4864864864864865,L-LSPIN,0.15,0.014,0.1,450125
infiltratingductalcarcinoma,220,0.6572831423895253,L-LSPIN,0.15,0.0105,0.1,490123
infiltratinglobularcarcinoma,60,0.582010582010582,L-LSPIN,0.15,0.0105,0.1,490123
other,23,0.4054054054054054,L-LSPIN,0.15,0.0105,0.1,490123
infiltratingductalcarcinoma,220,0.7001636661211129,L-LSPIN,0.15,0.0105,0.1,490124
infiltratinglobularcarcinoma,60,0.455026455026455,L-LSPIN,0.15,0.0105,0.1,490124
other,23,0.5945945945945946,L-LSPIN,0.15,0.0105,0.1,490124
infiltratingductalcarcinoma,220,0.6142389525368249,L-LSPIN,0.15,0.0105,0.1,490125
infiltratinglobularcarcinoma,60,0.4656084656084656,L-LSPIN,0.15,0.0105,0.1,490125
other,23,0.5405405405405406,L-LSPIN,0.15,0.0105,0.1,490125
infiltratingductalcarcinoma,220,0.6363338788870704,L-LSPIN,0.15,0.00875,0.1,530123
infiltratinglobularcarcinoma,60,0.5343915343915344,L-LSPIN,0.15,0.00875,0.1,530123
other,23,0.6216216216216216,L-LSPIN,0.15,0.00875,0.1,530123
infiltratingductalcarcinoma,220,0.5567921440261866,L-LSPIN,0.15,0.00875,0.1,530124
infiltratinglobularcarcinoma,60,0.5291005291005291,L-LSPIN,0.15,0.00875,0.1,530124
other,23,0.4594594594594595,L-LSPIN,0.15,0.00875,0.1,530124
infiltratingductalcarcinoma,220,0.5646481178396072,L-LSPIN,0.15,0.00875,0.1,530125
infiltratinglobularcarcinoma,60,0.5343915343915344,L-LSPIN,0.15,0.00875,0.1,530125
other,23,0.4594594594594595,L-LSPIN,0.15,0.00875,0.1,530125
infiltratingductalcarcinoma,220,0.5314238952536825,L-LSPIN,0.15,0.007,0.1,570123
infiltratinglobularcarcinoma,60,0.3544973544973545,L-LSPIN,0.15,0.007,0.1,570123
other,23,0.3783783783783784,L-LSPIN,0.15,0.007,0.1,570123
infiltratingductalcarcinoma,220,0.6166939443535189,L-LSPIN,0.15,0.007,0.1,570124
