family,selection,model,mean_Khard,ci_Khard,mean_khard_over_union,ci_khard_over_union,mean_test_c,ci_test_c,mean_manifold_alignment,ci_manifold_alignment,mean_gene_union_count,ci_gene_union_count,mean_gene_freq_ge_threshold_count,ci_gene_freq_ge_threshold_count,mean_effective_gene_count,ci_effective_gene_count,mean_affinity_corr,ci_affinity_corr,mean_risk_corr,ci_risk_corr,mean_top_risk_overlap_ratio,ci_top_risk_overlap_ratio,mean_cluster_ari,ci_cluster_ari
LSPIN,nosmooth,LSPIN (no smooth),362.50214131673175,35.56971192898837,0.31730276588946027,0.027479514386345757,0.613144963144963,0.01882296555972573,0.9693939598217041,0.004642613789877807,1188.6666666666667,208.29264863347308,796.3333333333334,136.08016731086693,634.4489609947921,106.81653969699845,0.7650258578992775,0.016141892403934002,0.5485048359779912,0.022388607808683025,2.228159259905292,0.07914676091652505,0.32499494506184173,0.022559667763847664
LSPIN,smooth,LSPIN + patient smooth,394.1460316975911,32.60719515148048,0.4898447980504848,0.0462984975098665,0.6070434070434071,0.028371068881276423,0.9671675452914688,0.005145026324784335,838.25,134.635915342081,675.5,93.70106451321186,563.3863033555225,70.30622137318834,0.8074900398982586,0.020093353251545074,0.5472846455766415,0.019137167883282787,2.23418674212325,0.08683262554710938,0.4207624957848226,0.025955450767744016
Concrete,nosmooth,Concrete (no smooth),162.43059794108072,28.769071805065668,0.11399069767171431,0.01341067892128089,0.5783920283920284,0.019725992668042952,0.9636295224652617,0.005797745118215781,1484.1666666666667,339.67100681201345,722.9166666666666,147.95697978012583,733.5221883419011,164.15059682393095,0.7532580171175878,0.020994976216254055,0.48797604820376506,0.03472408939867903,2.1216737407213597,0.10019510614483697,0.2952781263098688,0.025136736196419634
Concrete,smooth,Concrete + patient smooth,129.70149993896484,23.08205829714898,0.26433430881429665,0.0159792576864599,0.5604422604422604,0.02601297499592838,0.9327553458387214,0.011792826128167625,500.75,100.90557591885174,370.0833333333333,65.90287021078979,305.2179595366553,55.95065852244037,0.8964934705448615,0.013896939191223798,0.5115941462942434,0.021471012380111665,2.1759210806829854,0.09070353642561191,0.5216914028197546,0.04268803980416791
L-LSPIN,nosmooth,L-LSPIN (no smooth),331.8073425292969,32.962922304664,0.3070724653461973,0.023876536285688393,0.5812994812994813,0.02578453815678075,0.964012684858015,0.005042065953768004,1100.6666666666667,145.44622610046878,698.8333333333334,100.59525319644347,566.5323627869998,79.80099490814241,0.6646752415803483,0.018469179327189656,0.3748201855035577,0.023348542529231023,1.8363729157379953,0.08589703423436376,0.3090127618040198,0.023880458391355535
L-LSPIN,smooth,L-LSPIN + patient smooth,338.4281921386719,28.56217353790419,0.6755885575450807,0.03356036826443709,0.6061152061152062,0.031033563951748822,0.9514476110508844,0.005198968496434886,505.25,52.33999921839719,448.5833333333333,45.24526305916376,395.72512398714997,37.29898107448261,0.8064092306046503,0.028661817026270225,0.33114071132798184,0.016864684653591738,1.8182904690841202,0.08120815325452653,0.4536756209080581,0.022621729670506727
L-Concrete,nosmooth,L-Concrete (no smooth),352.44292704264325,59.99864490065129,0.19404118606399048,0.030328318787368174,0.5658135408135408,0.025808051169556825,0.9700197590820651,0.005141571755584038,1826.6666666666667,203.2218989233695,997.4166666666666,148.97903968564358,856.0948324880359,124.43201287990041,0.7197348666864716,0.017973470601380107,0.4665482331357832,0.0302459472919276,2.111627937024762,0.1106949214107654,0.323856519543775,0.02854735860610775
L-Concrete,smooth,L-Concrete + patient smooth,349.2052510579427,34.008564473928246,0.4753718245960912,0.052422594376376044,0.5967239967239967,0.021218944128916253,0.9625576393806905,0.005891266455863785,766.4166666666666,120.18866738876369,689.5833333333334,92.24674361776034,549.4717829488462,70.93083384827305,0.911092030132867,0.015345196805954918,0.4627346900235959,0.017097085664481357,1.981032488968997,0.07376650060539909,0.5243404307480266,0.0335814030403313
