family,gate_sigma,selection,model_family,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,khard_gap_abs,khard_gap_rel,sigma_gap,model
Concrete,0.12,nosmooth,Concrete,0.0022,0.0,0.5783920283920284,0.0348636954395729,162.43059794108072,50.84642250303164,0.9636295224652616,0.0102469276674328,1484.1666666666667,722.9166666666666,12,162.4890874226888,50.87548144381757,32.729098002115876,0.20149589065717696,0.0,Concrete (no smooth)
Concrete,0.12,smooth,Concrete,0.0022,0.1,0.5604422604422604,0.0459753003560885,129.70149993896484,40.79520174890693,0.9327553458387216,0.0208426265498082,500.75,370.0833333333333,12,129.70609633127847,40.7969832342808,,,,Concrete + patient smooth
L-Concrete,0.12,nosmooth,L-Concrete,0.0033,0.0,0.5658135408135408,0.0456131182347038,352.44292704264325,106.04153199307284,0.970019759082065,0.0090872076647272,1826.6666666666667,997.4166666666666,12,352.4536526997884,106.05940915952944,3.2376759847005587,0.009186383769616184,0.0,L-Concrete (no smooth)
L-Concrete,0.12,smooth,L-Concrete,0.0066,0.1,0.5967239967239967,0.0375023360349472,349.2052510579427,60.106695470740455,0.9625576393806904,0.0104122171657982,766.4166666666666,689.5833333333334,12,349.21521759033203,60.10758130392242,,,,L-Concrete + patient smooth
L-LSPIN,0.15,nosmooth,L-LSPIN,0.007,0.0,0.5812994812994813,0.0455715613645332,331.8073425292969,58.25862877308515,0.9640126848580148,0.0089113412316728,1100.6666666666667,698.8333333333334,12,331.80739974975586,58.25318455888999,6.620849609375,0.019953897219108143,0.0,L-LSPIN (no smooth)
L-LSPIN,0.15,smooth,L-LSPIN,0.021,0.4,0.6061152061152061,0.0548486831677213,338.4281921386719,50.48075075739732,0.9514476110508844,0.0091886505946685,505.25,448.5833333333333,12,338.4290822347005,50.48199237366076,,,,L-LSPIN + patient smooth
LSPIN,0.12,nosmooth,LSPIN,0.00525,0.0,0.6131449631449631,0.0332676864271062,362.50214131673175,62.865865583261865,0.9693939598217042,0.0082053499632533,1188.6666666666667,796.3333333333334,12,362.5030415852864,62.865555125578645,31.643890380859375,0.08729297505917605,0.0,LSPIN (no smooth)
LSPIN,0.12,smooth,LSPIN,0.0105,0.2,0.6070434070434071,0.0501429926198031,394.1460316975911,57.62991703538546,0.9671675452914688,0.0090933132661284,838.25,675.5,12,394.14556884765625,57.63474798604018,,,,LSPIN + patient smooth
