family,gate_sigma,selection,model_family,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,band_dist,khard_gap_abs,khard_gap_rel
Concrete,0.12,nosmooth,Concrete,0.0022,0.0,0.5783920283920284,0.034863695439572996,162.43059794108072,50.84642250303164,0.9636295224652617,0.010246927667432824,1484.1666666666667,722.9166666666666,12,162.4890874226888,50.87548144381757,387.5694020589193,,
Concrete,0.12,smooth,Concrete,0.0022,0.1,0.5604422604422604,0.04597530035608854,129.70149993896484,40.79520174890693,0.9327553458387216,0.020842626549808275,500.75,370.0833333333333,12,129.70609633127847,40.7969832342808,,32.729098002115876,0.20149589065717696
L-Concrete,0.12,nosmooth,L-Concrete,0.0033,0.0,0.5658135408135408,0.04561311823470387,352.44292704264325,106.04153199307284,0.970019759082065,0.009087207664727216,1826.6666666666667,997.4166666666666,12,352.4536526997884,106.05940915952945,0.0,,
L-Concrete,0.12,smooth,L-Concrete,0.0066,0.1,0.5967239967239967,0.03750233603494722,349.2052510579427,60.106695470740455,0.9625576393806905,0.010412217165798267,766.4166666666666,689.5833333333334,12,349.21521759033203,60.10758130392242,,3.2376759847005587,0.009186383769616184
L-LSPIN,0.15,nosmooth,L-LSPIN,0.007,0.0,0.5812994812994813,0.045571561364533296,331.8073425292969,58.25862877308515,0.9640126848580147,0.008911341231672868,1100.6666666666667,698.8333333333334,12,331.80739974975586,58.25318455888999,0.0,,
L-LSPIN,0.15,smooth,L-LSPIN,0.021,0.4,0.6061152061152061,0.054848683167721395,338.4281921386719,50.48075075739732,0.9514476110508844,0.009188650594668559,505.25,448.5833333333333,12,338.4290822347005,50.48199237366076,,6.620849609375,0.019953897219108143
LSPIN,0.12,nosmooth,LSPIN,0.00525,0.0,0.6131449631449631,0.03326768642710624,362.50214131673175,62.865865583261865,0.9693939598217042,0.008205349963253335,1188.6666666666667,796.3333333333334,12,362.50304158528644,62.865555125578645,0.0,,
LSPIN,0.12,smooth,LSPIN,0.0105,0.2,0.6070434070434071,0.05014299261980313,394.1460316975911,57.62991703538546,0.9671675452914688,0.009093313266128401,838.25,675.5,12,394.14556884765625,57.63474798604018,,31.643890380859375,0.08729297505917605
