model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,mean_Ksoft,mean_Khard
Concrete,concrete,0.12,0.0022,0.0,0.5685503685503686,154.17261505126953,154.13397725423178
Concrete,concrete,0.12,0.0022,0.1,0.5799071799071799,146.08274586995444,146.08895874023438
L-Concrete,concrete,0.12,0.0033,0.0,0.5671307671307672,323.32005310058594,323.3151143391927
L-Concrete,concrete,0.12,0.0066,0.1,0.593993993993994,328.3570251464844,328.3429768880208
L-LSPIN,lspin_tf,0.15,0.007,0.0,0.5618891618891618,365.59287516276044,365.5884297688802
L-LSPIN,lspin_tf,0.15,0.021,0.4,0.5664209664209664,365.2867431640625,365.2861735026042
LSPIN,lspin_tf,0.12,0.00525,0.0,0.6264810264810264,386.9691975911458,386.9549865722656
LSPIN,lspin_tf,0.12,0.0105,0.2,0.6239148239148239,386.38990275065106,386.3879903157552
