model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.12,0.0105,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,250124,1,25,1,0.5985257985257986,0.8141447368421053,14,379.9938354492188,379.9839172363281,0.959692385001494,827.0,626.0,526.6212138326683
LSPIN,lspin_tf,mlp,0.12,0.0105,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,250125,2,25,1,0.5723177723177724,0.868421052631579,24,342.33282470703125,342.32476806640625,0.9574207496334464,606.0,516.0,440.2739806933823
LSPIN,lspin_tf,mlp,0.12,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,290123,0,29,1,0.580999180999181,0.8207236842105263,15,406.2745361328125,406.2701110839844,0.9654301998796646,816.0,668.0,563.1882921415851
LSPIN,lspin_tf,mlp,0.12,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,290124,1,29,1,0.5257985257985258,0.8601973684210527,10,510.7772216796875,510.7845764160156,0.9781584310587224,1126.0,896.0,748.244729328001
LSPIN,lspin_tf,mlp,0.12,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,290125,2,29,1,0.5215397215397215,0.8519736842105263,5,522.9572143554688,522.9389038085938,0.9816863842910792,1595.0,1157.0,928.35641391022
LSPIN,lspin_tf,mlp,0.12,0.007,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,330123,0,33,1,0.5533169533169533,0.8174342105263158,16,612.3493041992188,612.360107421875,0.9761484232388234,1214.0,1032.0,856.8620338002122
LSPIN,lspin_tf,mlp,0.12,0.007,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,330124,1,33,1,0.5947583947583948,0.8486842105263158,11,573.8184204101562,573.8070678710938,0.9789530347129018,1172.0,951.0,801.9458872227108
LSPIN,lspin_tf,mlp,0.12,0.007,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,330125,2,33,1,0.6548730548730549,0.8634868421052632,12,486.6768493652344,486.6720275878906,0.9752057101759612,1097.0,888.0,730.9546371755375
LSPIN,lspin_tf,mlp,0.12,0.00525,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,370123,0,37,1,0.6291564291564291,0.8700657894736842,25,740.5848999023438,740.5787963867188,0.9798067152188932,1249.0,1142.0,984.8443193730348
LSPIN,lspin_tf,mlp,0.12,0.00525,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,370124,1,37,1,0.6253890253890254,0.8322368421052632,8,648.3209228515625,648.3182983398438,0.9849556979237182,1728.0,1399.0,1121.7766206672234
