model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
L-LSPIN,0.12,0.00875,0.1,0.7998473991763362,0.0724249784488252
L-LSPIN,0.12,0.00875,0.2,0.8245153530578992,0.0176832182387302
L-LSPIN,0.12,0.00875,0.4,0.8284475443263485,0.066941614017789
L-LSPIN,0.12,0.0105,0.0,0.6255470134278897,0.0283412677729845
L-LSPIN,0.12,0.0105,0.1,0.8347733105462165,0.0748143677998577
L-LSPIN,0.12,0.0105,0.2,0.8355756144996563,0.0229482730870398
L-LSPIN,0.12,0.0105,0.4,0.8534105675232145,0.0164329298093713
L-LSPIN,0.12,0.014,0.0,0.5922229952887829,0.0772544693683231
L-LSPIN,0.12,0.014,0.1,0.833809317824055,0.0153570542093742
L-LSPIN,0.12,0.014,0.2,0.8012776555603073,0.0411907218776337
L-LSPIN,0.12,0.014,0.4,0.8379541454329473,0.0330825148974048
L-LSPIN,0.12,0.021,0.0,0.5461542644566747,0.0628113416514283
L-LSPIN,0.12,0.021,0.1,0.8217074098400521,0.058801619641423
L-LSPIN,0.12,0.021,0.2,0.8444904331360917,0.0297973772652144
L-LSPIN,0.12,0.021,0.4,0.730385848299501,0.0371179717987076
L-LSPIN,0.15,0.007,0.0,0.6646752415803484,0.0588469326175308
L-LSPIN,0.15,0.007,0.1,0.8833806821321666,0.0501340340364184
L-LSPIN,0.15,0.007,0.2,0.8753272066263428,0.0084048550576133
L-LSPIN,0.15,0.007,0.4,0.8732809041693836,0.0689180986973062
L-LSPIN,0.15,0.00875,0.0,0.6727273213816947,0.0342556094757511
L-LSPIN,0.15,0.00875,0.1,0.9161789589714092,0.0197670105506303
L-LSPIN,0.15,0.00875,0.2,0.8935956294818314,0.0238236357977599
L-LSPIN,0.15,0.00875,0.4,0.8155682420013696,0.0449994258188672
L-LSPIN,0.15,0.0105,0.0,0.6365992365409675,0.119253288617822
L-LSPIN,0.15,0.0105,0.1,0.8305880470370139,0.0812757804624135
L-LSPIN,0.15,0.0105,0.2,0.8225927508100241,0.0942279152253604
L-LSPIN,0.15,0.0105,0.4,0.7632253871838803,0.0970839476465424
L-LSPIN,0.15,0.014,0.0,0.595689110899669,0.0590143267307373
L-LSPIN,0.15,0.014,0.1,0.6714436255526021,0.1491819859038629
L-LSPIN,0.15,0.014,0.2,0.8722229285149924,0.0475874343242375
L-LSPIN,0.15,0.014,0.4,0.7772737770507442,0.036027321839413
L-LSPIN,0.15,0.021,0.0,0.5971486888545922,0.0275722992097401
