family,selection,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_Khard,mean_gene_union_count,mean_test_c
Concrete,nosmooth,0.12,0.0022,0.0,162.43059794108072,1484.1666666666667,0.5783920283920284
Concrete,smooth,0.12,0.0022,0.1,129.70149993896484,500.75,0.5604422604422604
L-Concrete,nosmooth,0.12,0.0033,0.0,352.44292704264325,1826.6666666666667,0.5658135408135408
L-Concrete,smooth,0.12,0.0066,0.1,349.2052510579427,766.4166666666666,0.5967239967239967
L-LSPIN,nosmooth,0.15,0.007,0.0,331.8073425292969,1100.6666666666667,0.5812994812994813
L-LSPIN,smooth,0.15,0.021,0.4,338.4281921386719,505.25,0.6061152061152061
LSPIN,nosmooth,0.12,0.00525,0.0,362.50214131673175,1188.6666666666667,0.6131449631449631
LSPIN,smooth,0.12,0.0105,0.2,394.1460316975911,838.25,0.6070434070434071
