model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
Concrete,0.12,0.0022,0.0,0.5783920283920284,0.034863695439572996,162.43059794108072,50.84642250303164,0.9636295224652617,0.010246927667432824,1484.1666666666667,722.9166666666666,12,162.4890874226888,50.87548144381757
Concrete,0.12,0.0022,0.1,0.5604422604422604,0.04597530035608854,129.70149993896484,40.79520174890693,0.9327553458387216,0.020842626549808275,500.75,370.0833333333333,12,129.70609633127847,40.7969832342808
Concrete,0.12,0.0022,0.2,0.5066885066885067,0.052432771016495114,105.23043823242188,25.648753858827657,0.9312916600482918,0.021772287283350497,559.3333333333334,342.3333333333333,3,105.23265584309895,25.641606721721466
Concrete,0.12,0.0022,0.4,0.5449085449085449,0.03488456412203552,165.77813720703125,45.11950868126433,0.9524907631532055,0.015978884318809113,843.6666666666666,554.6666666666666,3,165.7757110595703,45.07352409071889
Concrete,0.12,0.00275,0.0,0.5694239694239694,0.01947248006584113,83.0471585591634,17.043924905451405,0.9370085112475101,0.008480134717632292,884.3333333333334,394.3333333333333,3,83.05498886108398,17.056605354132966
Concrete,0.12,0.00275,0.1,0.5306033306033305,0.04537895252180917,91.03536987304688,13.997507414204197,0.926896368654412,0.013320827731230387,431.0,303.3333333333333,3,91.02905019124348,13.983114283043921
Concrete,0.12,0.00275,0.2,0.5790335790335791,0.017489838713624795,84.75884246826172,5.87581828307707,0.8973206188675967,0.029440551444900844,314.0,231.66666666666666,3,84.73073323567708,5.890072060831592
Concrete,0.12,0.00275,0.4,0.538028938028938,0.07584961685627034,116.47695922851561,58.54747503180225,0.9111185334654351,0.04693380883463551,423.3333333333333,306.0,3,116.48913828531902,58.535118525662426
Concrete,0.12,0.0033,0.0,0.5630903630903631,0.04400476487832574,60.497320810953774,9.125997607638691,0.9328194520081668,0.0033539371539722225,665.6666666666666,312.3333333333333,3,60.51986312866211,9.119538244998846
Concrete,0.12,0.0033,0.1,0.5283647283647284,0.0369768968473618,66.44158681233723,19.62108142538207,0.8845556356321965,0.016422453811015526,253.0,184.66666666666666,3,66.44736989339192,19.613491789810546
Concrete,0.12,0.0033,0.2,0.542069342069342,0.06825306026747671,89.18649800618489,16.91656790532866,0.9294486200631797,0.015323353839538529,506.6666666666667,330.3333333333333,3,89.22328186035156,16.88936302894449
Concrete,0.12,0.0033,0.4,0.5336609336609336,0.02578695319135715,47.29153315226237,15.235817487623768,0.837051619420771,0.03334420130895174,174.33333333333334,131.66666666666666,3,47.29052861531576,15.230782301541947
Concrete,0.12,0.0044,0.0,0.4931476931476932,0.025612780276814413,46.95498402913412,13.892642294596216,0.9068021376948098,0.03288481080972747,468.3333333333333,229.33333333333334,3,46.973182678222656,13.922594670348168
Concrete,0.12,0.0044,0.1,0.5042315042315043,0.03490032756614916,24.71918551127116,16.994876712157,0.7277581388909301,0.150019044247991,108.33333333333333,72.0,3,24.707589785257976,16.99392750116179
Concrete,0.12,0.0044,0.2,0.5005733005733006,0.04022920018016113,45.32368723551432,8.859630767861216,0.8591046245477436,0.017596893997734602,201.0,136.33333333333334,3,45.32735951741537,8.861651834847965
Concrete,0.12,0.0044,0.4,0.5352989352989354,0.079431426824254,26.127545674641926,6.870980263450243,0.7903184927631696,0.030770703557998186,111.0,79.33333333333333,3,26.137283325195312,6.859035740465243
Concrete,0.12,0.0055,0.0,0.5548457548457548,0.03636966154617392,25.426581064860027,2.7657547391110024,0.863760516931784,0.008562168452032578,278.0,127.0,3,25.44011052449544,2.752423195733862
Concrete,0.12,0.0055,0.1,0.5145509145509145,0.02575693556614984,18.383708953857422,8.341399605968833,0.672981760931191,0.046182426645693275,60.333333333333336,46.0,3,18.378700892130535,8.335569735129143
Concrete,0.12,0.0055,0.2,0.47933387933387933,0.062016553337169024,15.093248049418131,7.737858191040339,0.6643728216774981,0.13741989556109863,60.333333333333336,41.0,3,15.093283971150717,7.737817431226616
Concrete,0.12,0.0055,0.4,0.597979797979798,0.0869305746275846,12.54876740773519,2.894043308663132,0.6129751676478524,0.010024775374398288,45.333333333333336,33.0,3,12.555593172709147,2.8924161478379156
Concrete,0.15,0.0022,0.0,0.5492219492219492,0.03125837627982616,122.7309799194336,26.07107190266619,0.9568453563334196,0.005710701798887515,1173.3333333333333,565.0,3,122.73380533854167,26.085648032561654
Concrete,0.15,0.0022,0.1,0.5647283647283647,0.057623755327044064,131.4640909830729,51.64771383015347,0.940374268053701,0.02118950960774207,507.3333333333333,369.6666666666667,3,131.4763946533203,51.65623950823826
Concrete,0.15,0.0022,0.2,0.5331695331695331,0.02882277875612132,106.0203628540039,23.102057381473582,0.9209579356335524,0.017558450064674654,325.3333333333333,253.33333333333334,3,106.0107192993164,23.105825184803802
Concrete,0.15,0.0022,0.4,0.5862407862407862,0.03187291924949687,122.44051361083984,30.025580627187924,0.9294450096328896,0.014754942194086499,507.0,362.0,3,122.45365905761719,30.052682257730496
Concrete,0.15,0.00275,0.0,0.5676767676767677,0.029150140269654,132.56270345052084,54.93886488996288,0.9573540759732312,0.015908095129560085,1267.6666666666667,624.0,3,132.56174977620444,54.89455615360974
Concrete,0.15,0.00275,0.1,0.5216489216489216,0.02275132583400662,80.2165044148763,40.01820921198183,0.9021833950839958,0.02908215073283845,261.3333333333333,199.66666666666666,3,80.19655863444011,40.01225253374987
Concrete,0.15,0.00275,0.2,0.5618891618891619,0.03934660415117123,84.24008687337239,1.3256864844147822,0.918395128711842,0.01240315631830982,388.0,265.6666666666667,3,84.25237782796223,1.3176309756500946
Concrete,0.15,0.00275,0.4,0.6097188097188098,0.054679167363994245,99.34941228230794,68.94060125224068,0.9001497723627492,0.05911871710821229,350.3333333333333,268.6666666666667,3,99.34312057495117,68.92465461608943
Concrete,0.15,0.0033,0.0,0.585967785967786,0.028089857619422225,81.35691324869792,34.88257899374771,0.9370699756514765,0.01602290904382162,769.3333333333334,378.6666666666667,3,81.37876510620116,34.88776834276909
Concrete,0.15,0.0033,0.1,0.5677313677313677,0.023833908865099274,67.75991312662761,21.956017742752916,0.9117962505585545,0.020187414306173348,365.0,245.66666666666666,3,67.76611328125,21.96891299519561
Concrete,0.15,0.0033,0.2,0.5213759213759214,0.02262281296794942,45.86923853556315,26.71487790276972,0.8476159130202093,0.08627882067311607,194.66666666666666,149.33333333333334,3,45.87630144755045,26.715077941525625
Concrete,0.15,0.0033,0.4,0.5633087633087633,0.07320438053420915,81.4555180867513,36.35029455577263,0.894847538470783,0.035054881359529305,451.3333333333333,266.6666666666667,3,81.49468739827473,36.37994264519445
Concrete,0.15,0.0044,0.0,0.5696969696969697,0.028491813143533336,43.59378306070963,10.169615802639084,0.9110748905128084,0.017338480425106113,557.3333333333334,232.66666666666666,3,43.58209482828776,10.20408275160868
Concrete,0.15,0.0044,0.1,0.5141687141687141,0.012627494756565482,47.63772773742676,22.893639100141012,0.8582212577229097,0.04377898828896877,231.33333333333334,146.0,3,47.63664245605469,22.90225188050349
Concrete,0.15,0.0044,0.2,0.56003276003276,0.01609248038108451,32.272239685058594,13.422291900264318,0.8102215878126408,0.04659621531637766,125.0,101.66666666666667,3,32.27824465433757,13.418875258551948
Concrete,0.15,0.0044,0.4,0.5060879060879061,0.04890918560285463,25.75991439819336,8.577643772745978,0.80030748352487,0.02067738962555017,126.33333333333333,83.0,3,25.752024332682293,8.578161036619528
