model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
Concrete,concrete,0.12,0.0022,0.0,3,10,0.3027796418125411,0.360358448668554
Concrete,concrete,0.12,0.0022,0.0,3,11,0.2944117904438517,0.3850755008096388
Concrete,concrete,0.12,0.0022,0.0,4,5,0.2480791134116938,0.2809208873659876
Concrete,concrete,0.12,0.0022,0.0,4,6,0.210746005841794,0.2561478902247902
Concrete,concrete,0.12,0.0022,0.0,4,7,0.2382680377023623,0.3529106672526856
Concrete,concrete,0.12,0.0022,0.0,4,8,0.2132230412419582,0.273765614351477
Concrete,concrete,0.12,0.0022,0.0,4,9,0.3908248239407575,0.4466150632246255
Concrete,concrete,0.12,0.0022,0.0,4,10,0.3292104723225974,0.3534837495173015
Concrete,concrete,0.12,0.0022,0.0,4,11,0.2464775933795744,0.3058233248932511
Concrete,concrete,0.12,0.0022,0.0,5,6,0.2086560180809314,0.2944261284724187
Concrete,concrete,0.12,0.0022,0.0,5,7,0.2883808443227275,0.3921731369210652
Concrete,concrete,0.12,0.0022,0.0,5,8,0.355729579953248,0.4031003229550485
Concrete,concrete,0.12,0.0022,0.0,5,9,0.3202788249755293,0.356467909760793
Concrete,concrete,0.12,0.0022,0.0,5,10,0.4080720663522456,0.4465604426042835
Concrete,concrete,0.12,0.0022,0.0,5,11,0.3117075090419502,0.3887853495345261
Concrete,concrete,0.12,0.0022,0.0,6,7,0.3714792923304481,0.3660665837191341
Concrete,concrete,0.12,0.0022,0.0,6,8,0.2381274843369178,0.3023672790953403
Concrete,concrete,0.12,0.0022,0.0,6,9,0.2399762722764583,0.294059637654398
Concrete,concrete,0.12,0.0022,0.0,6,10,0.2596624145875012,0.3464601136270032
Concrete,concrete,0.12,0.0022,0.0,6,11,0.2952796213618376,0.3849051142469903
Concrete,concrete,0.12,0.0022,0.0,7,8,0.2509099149155929,0.3577400412874685
Concrete,concrete,0.12,0.0022,0.0,7,9,0.2909745759154718,0.4043481224222844
Concrete,concrete,0.12,0.0022,0.0,7,10,0.2879474959651733,0.3682989219434085
Concrete,concrete,0.12,0.0022,0.0,7,11,0.1861932342613659,0.2645513218469681
Concrete,concrete,0.12,0.0022,0.0,8,9,0.3601388040311605,0.4121775025659275
Concrete,concrete,0.12,0.0022,0.0,8,10,0.4418229747576814,0.4800998665488647
Concrete,concrete,0.12,0.0022,0.0,8,11,0.2930742987034954,0.3908929602273465
Concrete,concrete,0.12,0.0022,0.0,9,10,0.554430877647926,0.5475469113104678
Concrete,concrete,0.12,0.0022,0.0,9,11,0.4156457242532578,0.4642468980679515
Concrete,concrete,0.12,0.0022,0.0,10,11,0.3592953978155442,0.4384746492722409
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,4,0.4871995089187866,0.460681039644923
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,5,0.4837423624960185,0.5205372831922943
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,6,0.4105112654210653,0.4998597148637151
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,7,0.4250908479807443,0.4692053876975397
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,8,0.3646862729644148,0.4428704040881701
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,9,0.4046233283692163,0.472031959283606
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,10,0.4673310474915827,0.4939336915505935
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,11,0.4927227860426512,0.50022225564674
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,5,0.5322607659463032,0.5468017287243994
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,6,0.3873199344231409,0.4329243541499057
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,7,0.4062409868974415,0.442736953071042
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,8,0.3741510831748568,0.4383854253398123
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,9,0.4289535077349502,0.4792095660538383
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,10,0.5726589548576868,0.5567932105970558
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,11,0.5530986336931625,0.5330188536668673
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,6,0.4763158188529706,0.5305466062010619
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,7,0.5596718631074652,0.5535350729915992
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,8,0.5760548837162262,0.6065807005278863
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,9,0.4913057184744567,0.5302573949192841
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,10,0.4692343211675602,0.5411650055312082
L-LSPIN,lspin_tf,0.15,0.021,0.4,5,11,0.5199383784129359,0.553272711947014
L-LSPIN,lspin_tf,0.15,0.021,0.4,6,7,0.5332254224366717,0.5767345099625135
L-LSPIN,lspin_tf,0.15,0.021,0.4,6,8,0.3885222983553557,0.4409822587564618
L-LSPIN,lspin_tf,0.15,0.021,0.4,6,9,0.3685543772203412,0.4476353865666267
L-LSPIN,lspin_tf,0.15,0.021,0.4,6,10,0.3562136168374937,0.4331861757024295
L-LSPIN,lspin_tf,0.15,0.021,0.4,6,11,0.380401103098841,0.4242907384571096
L-LSPIN,lspin_tf,0.15,0.021,0.4,7,8,0.4365318733377696,0.4719106180867254
L-LSPIN,lspin_tf,0.15,0.021,0.4,7,9,0.4166936196777079,0.4775558193802532
L-LSPIN,lspin_tf,0.15,0.021,0.4,7,10,0.3445956031357032,0.4155258499100489
L-LSPIN,lspin_tf,0.15,0.021,0.4,7,11,0.4187948130064245,0.4677856752320993
L-LSPIN,lspin_tf,0.15,0.021,0.4,8,9,0.5742883687879177,0.5971462946396949
L-LSPIN,lspin_tf,0.15,0.021,0.4,8,10,0.4563471690914013,0.5181951900190784
L-LSPIN,lspin_tf,0.15,0.021,0.4,8,11,0.4351665452990614,0.474733783348348
L-LSPIN,lspin_tf,0.15,0.021,0.4,9,10,0.5212491021416414,0.5761972955779209
L-LSPIN,lspin_tf,0.15,0.021,0.4,9,11,0.4623254517038668,0.47995712357819
L-LSPIN,lspin_tf,0.15,0.021,0.4,10,11,0.5643100594034621,0.5737229844118723
L-Concrete,concrete,0.12,0.0066,0.1,3,4,0.4232927951760425,0.4186525364095115
L-Concrete,concrete,0.12,0.0066,0.1,3,5,0.6413095826479845,0.6080886111284601
L-Concrete,concrete,0.12,0.0066,0.1,3,6,0.399469034173562,0.5053918278971254
L-Concrete,concrete,0.12,0.0066,0.1,3,7,0.4325310258762248,0.542083553797188
L-Concrete,concrete,0.12,0.0066,0.1,3,8,0.5790444335338636,0.608728708608717
L-Concrete,concrete,0.12,0.0066,0.1,3,9,0.6809469478614466,0.6652631551971465
L-Concrete,concrete,0.12,0.0066,0.1,3,10,0.4656639287790035,0.5266338024642526
L-Concrete,concrete,0.12,0.0066,0.1,3,11,0.6332895615154207,0.6272329331224837
L-Concrete,concrete,0.12,0.0066,0.1,4,5,0.5836899631414455,0.581617839513215
L-Concrete,concrete,0.12,0.0066,0.1,4,6,0.4041846595170347,0.4465209203269651
L-Concrete,concrete,0.12,0.0066,0.1,4,7,0.3564446254883232,0.4537915760192357
L-Concrete,concrete,0.12,0.0066,0.1,4,8,0.4189259090881488,0.4071564118535319
L-Concrete,concrete,0.12,0.0066,0.1,4,9,0.4439594284220573,0.4298086766506553
L-Concrete,concrete,0.12,0.0066,0.1,4,10,0.4019426969045361,0.4092366942768815
L-Concrete,concrete,0.12,0.0066,0.1,4,11,0.4435639299890276,0.4356037493586183
L-Concrete,concrete,0.12,0.0066,0.1,5,6,0.423853356280395,0.5254269019597344
L-Concrete,concrete,0.12,0.0066,0.1,5,7,0.4078800513299601,0.5304344182870834
L-Concrete,concrete,0.12,0.0066,0.1,5,8,0.6134962819643455,0.6049126901875952
L-Concrete,concrete,0.12,0.0066,0.1,5,9,0.7279166101410167,0.665973903754066
L-Concrete,concrete,0.12,0.0066,0.1,5,10,0.5238858922388722,0.5437595036073956
L-Concrete,concrete,0.12,0.0066,0.1,5,11,0.7169140094859785,0.6703080773861473
